[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 224.248, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.16346, eps[k]: -1.01684, lambda: -1.61343e+32 
Chain 2 dis: 105.916, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.19888, eps[k]: -1.01684, lambda: -7.6205e+31 
Chain 2 dis: 377.113, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.27307, eps[k]: -1.01684, lambda: -2.71328e+32 
Chain 2 dis: 347.835, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.91951, eps[k]: -1.01684, lambda: -2.50262e+32 
Chain 2 dis: 374.645, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.139926, eps[k]: -1.01684, lambda: -2.69552e+32 
Chain 2 dis: 151.366, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.513882, eps[k]: -1.01684, lambda: -1.08906e+32 
Chain 2 dis: 277.037, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.47334, eps[k]: -1.01684, lambda: -1.99324e+32 
Chain 2 dis: 413.962, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.506889, eps[k]: -1.01684, lambda: -2.97839e+32 
Chain 2 dis: 248.877, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.730093, eps[k]: -1.01684, lambda: -1.79064e+32 
Chain 2 dis: 174.729, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.22271, eps[k]: -1.01684, lambda: -1.25715e+32 
Chain 2 dis: 226.189, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.17011, eps[k]: -1.01684, lambda: -1.6274e+32 
Chain 2 dis: 286.948, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.29666, eps[k]: -1.01684, lambda: -2.06455e+32 
Chain 2 dis: 104.715, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.85717, eps[k]: -1.01684, lambda: -7.5341e+31 
Chain 2 dis: 267.552, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.119133, eps[k]: -1.01684, lambda: -1.925e+32 
Chain 2 dis: 341.906, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.177543, eps[k]: -1.01684, lambda: -2.45997e+32 
Chain 2 dis: 284.216, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.529649, eps[k]: -1.01684, lambda: -2.04489e+32 
Chain 2 dis: 209.258, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.963019, eps[k]: -1.01684, lambda: -1.50558e+32 
Chain 2 dis: 221.623, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.620921, eps[k]: -1.01684, lambda: -1.59454e+32 
Chain 2 dis: 398.857, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.170564, eps[k]: -1.01684, lambda: -2.86972e+32 
Chain 2 dis: 129.504, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.79314, eps[k]: -1.01684, lambda: -9.3176e+31 
Chain 2 dis: 105.497, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.399929, eps[k]: -1.01684, lambda: -7.59036e+31 
Chain 2 dis: 207.061, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.385771, eps[k]: -1.01684, lambda: -1.48978e+32 
Chain 2 dis: 239.056, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.543797, eps[k]: -1.01684, lambda: -1.71998e+32 
Chain 2 dis: 303.193, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.42463, eps[k]: -1.01684, lambda: -2.18143e+32 
Chain 2 dis: 243.924, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.00612004, eps[k]: -1.01684, lambda: -1.755e+32 
Chain 2 dis: 227.953, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.0116669, eps[k]: -1.01684, lambda: -1.64009e+32 
Chain 2 dis: 151.725, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.78516, eps[k]: -1.01684, lambda: -1.09164e+32 
Chain 2 dis: 56.9186, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.414737, eps[k]: -1.01684, lambda: -4.09521e+31 
Chain 2 dis: 245.021, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.611234, eps[k]: -1.01684, lambda: -1.76289e+32 
Chain 2 dis: 232.927, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.606846, eps[k]: -1.01684, lambda: -1.67587e+32 
Chain 2 dis: 248.657, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -1.79218, eps[k]: -1.01684, lambda: -1.78905e+32 
Chain 2 dis: 238.424, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.619107, eps[k]: -1.01684, lambda: -1.71542e+32 
Chain 2 dis: 140.611, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 0.430949, eps[k]: -1.01684, lambda: -1.01168e+32 
Chain 2 dis: 70.0548, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.50005, eps[k]: -1.01684, lambda: -5.04034e+31 
Chain 2 dis: 310.845, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.798492, eps[k]: -1.01684, lambda: -2.23648e+32 
Chain 2 dis: 252.348, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: -0.994658, eps[k]: -1.01684, lambda: -1.81561e+32 
Chain 2 dis: 30.7867, rho: 2.81315e+293 , theta: 622.776, floral[k]: -1.19589, zeta[i]: 1.43011, eps[k]: -1.01684, lambda: -2.21506e+31 
