[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 408.516, rho: 0 , theta: 197.733, floral[k]: 1.32583, zeta[i]: -8.23635, eps[k]: -514.016, lambda: -inf 
Chain 1 dis: 461.956, rho: 0 , theta: 197.733, floral[k]: 0.644807, zeta[i]: -8.23635, eps[k]: -788.671, lambda: -inf 
Chain 1 dis: 520.741, rho: 0 , theta: 197.733, floral[k]: -0.054427, zeta[i]: -8.23635, eps[k]: -52.259, lambda: -inf 
Chain 1 dis: 583.258, rho: 0 , theta: 197.733, floral[k]: -1.19589, zeta[i]: -8.23635, eps[k]: -43.0436, lambda: -inf 
Chain 1 dis: 427.643, rho: 0 , theta: 197.733, floral[k]: 1.91243, zeta[i]: -8.23635, eps[k]: -52.7396, lambda: -inf 
Chain 1 dis: 467.062, rho: 0 , theta: 197.733, floral[k]: 1.25655, zeta[i]: -8.23635, eps[k]: -183.938, lambda: -inf 
Chain 1 dis: 514.456, rho: 0 , theta: 197.733, floral[k]: 0.464287, zeta[i]: -8.23635, eps[k]: -118.321, lambda: -inf 
Chain 1 dis: 567.832, rho: 0 , theta: 197.733, floral[k]: -0.663781, zeta[i]: -8.23635, eps[k]: 20.4239, lambda: -inf 
Chain 1 dis: 625.661, rho: 0 , theta: 197.733, floral[k]: 0.936751, zeta[i]: -8.23635, eps[k]: -324.922, lambda: -inf 
Chain 1 dis: 538.363, rho: 0 , theta: 197.733, floral[k]: 0.159276, zeta[i]: -10.3536, eps[k]: 22.7374, lambda: -inf 
Chain 1 dis: 469.557, rho: 0 , theta: 197.733, floral[k]: 0.85836, zeta[i]: -10.3536, eps[k]: -47.1811, lambda: -inf 
Chain 1 dis: 402.969, rho: 0 , theta: 197.733, floral[k]: -0.511352, zeta[i]: -10.3536, eps[k]: -698.762, lambda: -inf 
Chain 1 dis: 339.903, rho: 0 , theta: 197.733, floral[k]: 0.745178, zeta[i]: -10.3536, eps[k]: 70.0279, lambda: -inf 
Chain 1 dis: 282.726, rho: 0 , theta: 197.733, floral[k]: 1.02998, zeta[i]: -10.3536, eps[k]: 98.5783, lambda: -inf 
Chain 1 dis: 570.49, rho: 0 , theta: 197.733, floral[k]: 0.34103, zeta[i]: -10.3536, eps[k]: -312.587, lambda: -inf 
