[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 1 dis: 57.1893, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -0.857667, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 94.0111, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -0.857667, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 168.81, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -0.857667, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 101.381, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -0.857667, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 86.2368, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -0.857667, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 257.707, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -0.857667, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 168.925, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -0.857667, eps[k]: 10.6211, lambda: -4.39374e+138 
Chain 1 dis: 160.294, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -0.857667, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 184.67, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -0.857667, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 240.921, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -0.857667, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 234.95, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -0.857667, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 252.211, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -0.857667, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 337.902, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -0.857667, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 215.518, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -0.213001, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 172.399, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -0.213001, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 173.258, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -0.213001, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 216.891, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -0.213001, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 274.643, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -0.213001, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 230.707, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: -0.213001, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 242.897, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: -0.213001, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 340.088, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: -0.213001, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 314.536, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: -0.213001, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 340.959, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: -0.213001, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 408.828, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: -0.213001, eps[k]: 10.6211, lambda: -1.06336e+139 
Chain 1 dis: 387.832, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: -0.213001, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 380.706, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: -0.213001, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 479.449, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: -0.213001, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 461.676, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: -0.213001, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 455.706, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: -0.213001, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 480.067, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: -0.213001, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 538.516, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: 1.32302, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 570.636, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: 1.32302, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 656.22, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: 1.32302, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 707.107, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: 1.32302, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 469.707, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: 1.32302, eps[k]: 17.0427, lambda: -inf 
Chain 1 dis: 550.568, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.18965, zeta[i]: 1.32302, eps[k]: -2139.01, lambda: -inf 
Chain 1 dis: 601.041, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.04431, zeta[i]: 1.32302, eps[k]: -13.1691, lambda: -inf 
Chain 1 dis: 403.113, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.07972, zeta[i]: 1.32302, eps[k]: -2630.43, lambda: -inf 
Chain 1 dis: 445.112, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.877506, zeta[i]: 1.32302, eps[k]: 23.5214, lambda: -inf 
Chain 1 dis: 610.328, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.958341, zeta[i]: 1.32302, eps[k]: -148.358, lambda: -inf 
Chain 1 dis: 340.037, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.0841977, zeta[i]: 1.32302, eps[k]: 10.6211, lambda: -8.84437e+138 
Chain 1 dis: 388.909, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.32583, zeta[i]: 1.32302, eps[k]: 10.4865, lambda: -inf 
Chain 1 dis: 445.112, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.644807, zeta[i]: 1.32302, eps[k]: 8.68929, lambda: -inf 
Chain 1 dis: 282.843, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.91243, zeta[i]: 1.32302, eps[k]: -138.533, lambda: -inf 
Chain 1 dis: 340.037, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.25655, zeta[i]: 1.32302, eps[k]: 22.1433, lambda: -inf 
Chain 1 dis: 403.113, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.464287, zeta[i]: 1.32302, eps[k]: 16.0554, lambda: -inf 
Chain 1 dis: 538.516, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.936751, zeta[i]: 1.32302, eps[k]: -751.113, lambda: -inf 
Chain 1 dis: 282.843, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.159276, zeta[i]: -16.7119, eps[k]: 16.4015, lambda: -inf 
Chain 1 dis: 340.037, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.85836, zeta[i]: -16.7119, eps[k]: 22.6816, lambda: -inf 
Chain 1 dis: 469.707, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.745178, zeta[i]: -16.7119, eps[k]: 18.0333, lambda: -inf 
Chain 1 dis: 538.516, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 1.02998, zeta[i]: -16.7119, eps[k]: 23.3181, lambda: -inf 
Chain 1 dis: 340.037, rho: 1.40637e+111 , theta: -6770.21, floral[k]: 0.34103, zeta[i]: -16.7119, eps[k]: 17.0427, lambda: -inf 
