[1] reduce_sum_exponential.stan
Levels: reduce_sum_exponential.stan reduce_sum_exponentialGQ.stan
[1] 4
[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 Iteration:    1 / 6000 [  0%]  (Warmup) 
Chain 2 dis: 394.859, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.644807, zeta[i]: -11.6918, eps[k]: -0.4514, lambda: -inf 
Chain 2 dis: 433.451, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.054427, zeta[i]: -11.6918, eps[k]: 0.484801, lambda: -9.91402e+228 
Chain 2 dis: 429.426, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.91243, zeta[i]: -11.6918, eps[k]: -142.352, lambda: -inf 
Chain 2 dis: 440.309, rho: 2.84347e-250 , theta: -980.941, floral[k]: 1.25655, zeta[i]: -11.6918, eps[k]: -0.987613, lambda: -inf 
Chain 2 dis: 463.236, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.464287, zeta[i]: -11.6918, eps[k]: -12.009, lambda: -inf 
Chain 2 dis: 538.303, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.936751, zeta[i]: -11.6918, eps[k]: -120.046, lambda: -inf 
Chain 2 dis: 157.235, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.159276, zeta[i]: -1.87873, eps[k]: -1.18416, lambda: -inf 
Chain 2 dis: 86.3848, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.85836, zeta[i]: -1.87873, eps[k]: -0.162133, lambda: -inf 
Chain 2 dis: 38.1042, rho: 2.84347e-250 , theta: -980.941, floral[k]: -0.511352, zeta[i]: -1.87873, eps[k]: 0.173276, lambda: -1.91567e+33 
Chain 2 dis: 81.8018, rho: 2.84347e-250 , theta: -980.941, floral[k]: 0.745178, zeta[i]: -1.87873, eps[k]: -1.30354, lambda: -inf 
