[1] "Starting sampling."
Running MCMC with 4 parallel chains, with 4 thread(s) per chain...

Chain 1 dis: 343.863, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 0.852849, eps[k]: -1.27801, lambda: -5.36089e+36 
Chain 1 dis: 273.701, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -0.319667, eps[k]: -1.27801, lambda: -4.26704e+36 
Chain 1 dis: 129.684, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 1.43484, eps[k]: -1.27801, lambda: -2.02179e+36 
Chain 1 dis: 149.532, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 1.16698, eps[k]: -1.27801, lambda: -2.33123e+36 
Chain 1 dis: 299.582, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -1.64621, eps[k]: -1.27801, lambda: -4.67052e+36 
Chain 1 dis: 327.643, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -0.77543, eps[k]: -1.27801, lambda: -5.10801e+36 
Chain 1 dis: 388.225, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -0.130972, eps[k]: -1.27801, lambda: -6.05248e+36 
Chain 1 dis: 449.114, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -0.647022, eps[k]: -1.27801, lambda: -7.00176e+36 
Chain 1 dis: 244.476, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -0.669465, eps[k]: -1.27801, lambda: -3.81143e+36 
Chain 1 dis: 200.589, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 0.0645472, eps[k]: -1.27801, lambda: -3.12722e+36 
Chain 1 dis: 289.52, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 1.19484, eps[k]: -1.27801, lambda: -4.51366e+36 
Chain 1 dis: 508.757, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 1.47849, eps[k]: -1.27801, lambda: -7.9316e+36 
Chain 1 dis: 461.594, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -0.0498644, eps[k]: -1.27801, lambda: -7.19633e+36 
Chain 1 dis: 141.457, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 0.897602, eps[k]: -1.27801, lambda: -2.20534e+36 
Chain 1 dis: 198.565, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -1.35541, eps[k]: -1.27801, lambda: -3.09565e+36 
Chain 1 dis: 238.358, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 1.27915, eps[k]: -1.27801, lambda: -3.71603e+36 
Chain 1 dis: 278.75, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: -0.732622, eps[k]: -1.27801, lambda: -4.34576e+36 
Chain 1 dis: 274.819, rho: 1.91451e+102 , theta: 262.771, floral[k]: -1.19589, zeta[i]: 0.877412, eps[k]: -1.27801, lambda: -4.28447e+36 
