"","individual","truecolony","landscape_id","trap_id","BT10_1","BT10_2","BTMS0057_1","BTMS0057_2","BTMS0086_1","BTMS0086_2","BTMS0066_1","BTMS0066_2","BTMS0062_1","BTMS0062_2","BTMS0136_1","BTMS0136_2","BTMS0126_1","BTMS0126_2","BL13_1","BL13_2","BTMS0083_1","BTMS0083_2","B126_1","B126_2"
"1009","Ind1009",9818,3,58,140,132,132,126,274,274,146,146,247,243,172,174,171,171,172,172,268,292,147,147
"1876","Ind1876",18853,6,126,136,132,126,126,277,274,167,146,243,241,180,176,177,173,172,172,280,276,147,145
"1446","Ind1446",14493,2,31,134,138,128,124,274,274,140,158,243,241,174,178,175,167,168,170,268,270,147,147
"1527","Ind1527",15342,5,121,138,144,126,124,274,274,146,149,235,247,186,178,193,169,170,170,280,278,145,147
"1628","Ind1628",16378,6,128,132,132,126,132,274,274,146,146,273,235,178,174,173,169,168,172,276,280,145,147
"826","Ind826",7823,6,150,134,138,126,122,274,274,140,146,255,241,172,184,177,181,174,176,278,276,147,147
"946","Ind946",9128,5,111,134,144,124,124,274,274,146,146,235,273,160,168,169,169,172,170,276,276,145,147
"1877","Ind1877",18859,6,139,136,134,124,130,274,274,146,146,241,243,176,170,171,171,172,172,268,276,147,147
"270","Ind270",2737,5,113,138,172,128,122,274,274,134,146,243,247,174,178,173,169,168,168,276,282,145,145
"750","Ind750",7234,5,115,132,130,122,122,274,274,140,146,247,235,162,178,169,169,168,170,276,276,147,145
"1339","Ind1339",13316,2,38,134,130,128,122,277,274,179,140,239,241,174,168,167,171,170,172,282,276,147,147
"1240","Ind1240",12264,3,51,132,144,128,130,274,274,134,134,255,249,178,178,169,169,172,168,278,280,145,149
"1955","Ind1955",19496,5,106,134,134,128,128,274,274,140,113,241,253,180,178,171,167,172,168,276,274,147,147
"1817","Ind1817",18272,1,23,138,138,126,124,274,274,134,149,259,247,172,182,171,171,168,170,280,298,147,147
"194","Ind194",2082,1,14,132,134,128,126,274,274,146,146,241,243,154,176,187,167,172,170,282,280,145,145
"1232","Ind1232",12107,2,29,134,136,124,124,277,274,146,134,241,253,172,180,175,171,176,174,282,276,145,147
"239","Ind239",2487,6,143,134,134,122,128,274,277,140,146,243,243,176,174,187,185,170,176,292,280,145,147
"884","Ind884",8509,1,1,138,160,128,128,274,277,143,146,241,263,168,176,173,167,178,176,274,268,147,147
"205","Ind205",2158,4,100,136,132,126,128,277,274,143,146,235,245,172,180,169,167,168,172,276,284,147,147
"1790","Ind1790",18112,2,38,134,134,130,130,274,274,146,146,255,255,170,180,173,169,172,176,268,280,147,147
"1927","Ind1927",19296,6,135,146,132,132,128,274,274,146,143,241,241,184,176,167,169,178,178,276,280,147,147
"503","Ind503",5121,6,145,136,134,124,124,274,274,140,146,243,243,188,172,169,173,172,172,270,280,147,147
"1545","Ind1545",15567,3,64,130,144,128,124,274,277,143,143,259,249,176,182,175,165,176,170,270,268,147,145
"940","Ind940",9060,2,31,138,138,128,128,274,277,146,134,241,241,178,176,175,171,176,168,270,278,147,145
"1864","Ind1864",18664,2,46,132,132,124,128,277,274,134,146,251,269,176,162,163,169,170,174,280,268,147,145
"1006","Ind1006",9800,2,39,144,132,124,126,277,274,146,143,241,257,182,166,179,169,172,174,268,276,147,147
"1323","Ind1323",13126,4,96,134,128,128,128,274,277,125,146,241,247,174,186,169,169,170,168,270,280,145,147
"1910","Ind1910",19185,2,26,132,134,126,128,277,277,140,119,241,243,182,172,171,171,172,170,280,280,147,147
"9","Ind9",60,5,114,138,138,130,128,277,277,140,149,243,235,166,176,171,169,176,174,288,276,147,147
"1749","Ind1749",17785,3,68,132,134,126,124,274,274,146,140,245,269,176,182,167,171,174,168,302,280,147,147
"938","Ind938",9030,5,118,132,136,128,130,274,274,146,143,259,247,184,168,169,171,172,174,280,268,147,149
"292","Ind292",2960,5,123,134,128,130,122,274,274,134,119,235,245,174,176,167,177,168,174,268,270,147,145
"1581","Ind1581",15986,4,96,132,138,128,126,274,274,146,137,255,269,176,174,169,167,168,176,276,280,147,147
"1624","Ind1624",16314,5,117,140,140,126,126,274,274,146,134,239,259,174,174,169,169,168,178,290,276,145,147
"666","Ind666",6583,4,79,140,140,124,124,274,274,146,143,243,241,172,180,169,175,168,176,298,276,147,147
"163","Ind163",1698,1,1,134,134,124,128,274,274,125,149,243,243,180,172,171,169,172,176,272,282,147,145
"1732","Ind1732",17577,4,93,134,132,126,122,274,277,134,146,257,243,184,178,167,169,170,172,280,278,147,147
"131","Ind131",1442,2,36,144,134,124,128,274,277,119,140,239,241,172,178,167,169,172,170,276,280,147,147
"716","Ind716",7000,4,98,142,138,126,130,274,277,146,146,241,247,168,172,167,175,170,170,270,268,145,147
"1095","Ind1095",10662,1,1,140,134,124,122,274,274,143,146,241,243,174,176,175,169,170,168,276,282,147,147
"377","Ind377",3822,5,123,142,134,132,126,274,277,146,146,247,253,164,186,167,169,172,172,268,278,147,145
"778","Ind778",7490,5,116,138,140,126,126,277,277,119,140,243,249,180,170,169,169,172,172,280,276,147,145
"569","Ind569",5713,4,88,132,134,130,124,274,277,143,146,241,243,178,186,171,171,170,170,276,280,145,149
"422","Ind422",4267,4,85,134,132,124,128,277,274,146,146,255,241,178,166,169,169,170,174,278,276,147,149
"5","Ind5",31,2,39,132,134,124,126,274,274,125,146,239,255,176,176,167,173,176,170,280,276,145,147
"88","Ind88",985,1,10,132,136,122,124,274,274,155,140,245,241,180,174,167,169,170,170,286,280,149,147
"1881","Ind1881",18874,6,149,138,140,122,124,274,274,143,143,241,243,184,184,167,169,168,172,276,280,149,145
"438","Ind438",4459,1,8,136,0,126,130,277,277,137,146,235,243,176,184,169,167,172,166,276,270,147,0
"1482","Ind1482",14855,1,3,136,136,128,124,274,274,161,140,255,279,182,172,169,169,172,170,276,276,145,147
"649","Ind649",6503,1,5,138,134,126,126,277,274,143,146,255,249,178,172,169,169,172,168,0,0,147,145
"838","Ind838",7959,1,22,138,134,126,128,274,274,146,146,243,235,184,176,169,171,176,172,280,280,147,147
"832","Ind832",7928,2,26,132,132,128,126,277,274,143,146,249,239,188,188,169,169,168,170,284,286,147,145
"691","Ind691",6783,3,67,134,134,126,124,274,277,146,146,247,241,180,166,167,167,176,172,276,276,147,145
"1092","Ind1092",10629,6,146,134,134,130,126,274,274,146,146,241,229,178,184,169,165,172,170,276,280,145,145
"1737","Ind1737",17733,6,126,140,150,122,130,274,277,146,146,241,243,172,178,167,173,170,176,280,280,147,145
"1273","Ind1273",12591,5,109,134,132,130,122,277,274,143,137,235,259,180,176,189,169,172,172,268,280,145,147
"908","Ind908",8728,6,132,134,138,132,126,274,274,140,140,243,255,168,174,167,169,168,172,280,276,147,145
"191","Ind191",2082,1,4,138,134,122,126,274,274,143,146,241,243,154,176,165,167,172,170,280,280,145,145
"1704","Ind1704",17213,4,76,134,138,132,126,274,277,146,140,245,243,176,176,169,171,188,170,280,276,147,147
"1358","Ind1358",13591,2,29,134,134,130,124,274,274,146,143,239,241,170,182,0,0,174,172,282,268,145,147
"231","Ind231",2410,2,39,132,132,130,124,274,274,140,143,241,253,172,188,173,171,170,170,280,276,147,147
"523","Ind523",5359,6,140,136,134,130,130,277,274,140,146,255,243,166,172,169,179,172,0,280,276,147,147
"731","Ind731",7090,1,16,132,130,122,126,277,277,119,143,259,243,172,172,167,171,168,176,268,268,147,147
"1448","Ind1448",14530,5,101,140,140,124,126,274,274,143,146,241,243,188,172,171,173,170,172,272,276,147,145
"1832","Ind1832",18352,2,45,144,134,126,122,274,274,140,146,251,255,192,176,169,167,170,172,280,276,147,145
"1726","Ind1726",17506,1,21,144,136,126,130,274,274,146,146,243,251,170,176,187,169,168,182,280,276,145,147
"1740","Ind1740",17757,4,82,134,134,124,124,274,274,134,146,239,249,186,184,167,195,172,172,276,276,145,147
"996","Ind996",9657,6,135,146,134,126,122,274,274,140,140,251,235,168,192,179,171,170,170,280,280,147,145
"443","Ind443",4513,3,60,136,136,126,124,274,274,140,143,245,245,174,184,179,173,172,170,278,268,147,145
"1218","Ind1218",12013,2,45,138,128,126,128,274,274,146,155,247,241,182,174,169,169,172,170,276,280,145,147
"1988","Ind1988",19853,3,66,140,144,124,128,277,277,146,146,255,241,172,178,165,177,172,168,280,268,147,145
"1087","Ind1087",10568,6,135,134,134,128,130,277,274,143,134,269,241,172,182,169,167,172,172,278,302,147,145
"1567","Ind1567",15883,6,135,142,134,122,130,274,277,143,140,261,243,178,174,169,169,170,178,276,278,147,147
"1351","Ind1351",13448,1,22,138,134,124,130,274,274,140,167,251,239,180,176,185,173,170,170,276,278,147,147
"1812","Ind1812",18259,3,52,138,132,132,126,277,274,140,140,241,259,178,174,169,167,182,174,268,270,149,147
"1743","Ind1743",17772,4,86,132,138,128,128,274,274,146,140,241,251,180,188,167,169,198,176,276,278,147,147
"152","Ind152",1581,4,83,142,142,126,126,274,274,146,137,251,235,172,172,169,171,172,180,268,296,147,145
"1001","Ind1001",9701,2,34,144,140,124,126,274,274,146,146,231,255,182,168,177,167,170,168,280,280,149,147
"1473","Ind1473",14767,4,87,132,128,126,124,277,274,146,146,243,269,178,176,167,169,170,172,268,268,145,147
"487","Ind487",4955,1,6,138,134,124,126,274,274,119,143,231,241,182,188,171,169,168,172,270,276,147,147
"900","Ind900",8607,3,67,144,144,126,132,274,274,134,149,241,241,172,180,167,165,176,174,276,290,147,147
"574","Ind574",5810,3,67,134,134,126,130,274,274,134,140,241,243,182,180,169,167,170,172,268,276,147,147
"954","Ind954",9204,2,43,142,134,130,124,277,274,143,143,251,241,172,178,187,171,172,174,274,276,147,147
"538","Ind538",5447,5,119,134,134,126,128,274,277,146,146,255,241,166,188,169,169,176,172,268,276,147,145
"428","Ind428",4289,6,127,134,132,126,130,274,274,146,137,247,267,180,174,167,169,170,170,276,276,145,147
"788","Ind788",7589,1,9,136,132,136,132,274,274,143,146,251,243,176,182,169,165,172,170,280,280,145,147
"582","Ind582",5883,5,103,140,144,130,128,274,277,140,143,243,241,178,166,171,167,172,172,280,280,147,147
"760","Ind760",7289,3,70,134,132,120,124,277,277,143,149,269,243,178,174,171,169,174,170,278,276,145,149
"1265","Ind1265",12528,6,150,134,134,124,128,274,277,155,149,239,241,178,178,173,167,174,170,280,276,145,147
"511","Ind511",5232,6,148,132,134,124,122,274,274,143,146,251,231,172,190,177,173,168,176,280,280,147,147
"1996","Ind1996",19943,2,50,134,134,126,124,274,274,146,143,243,241,170,180,167,167,170,170,278,280,147,145
"1266","Ind1266",12529,1,16,132,134,124,124,274,274,134,137,243,243,172,178,175,173,168,176,284,276,147,145
"1003","Ind1003",9779,6,145,146,134,128,128,274,274,134,143,241,233,178,196,167,169,170,170,278,276,147,145
"1980","Ind1980",19754,3,67,134,140,124,126,274,277,146,137,259,243,180,176,167,167,170,168,278,276,145,145
"1496","Ind1496",15022,3,63,138,144,130,128,274,274,152,134,257,249,178,176,169,169,172,180,276,270,147,147
"751","Ind751",7236,6,143,134,134,128,130,277,274,146,155,247,231,178,176,167,165,170,172,272,288,145,147
"1467","Ind1467",14707,2,28,134,132,126,126,274,274,143,146,241,251,180,174,167,193,170,176,276,280,147,145
"797","Ind797",7648,3,70,134,134,124,122,274,274,167,146,241,241,178,178,169,169,176,178,268,280,145,147
"87","Ind87",974,2,48,132,138,130,126,274,274,143,143,243,247,180,180,169,169,170,170,268,276,145,147
"413","Ind413",4152,1,8,132,134,130,130,274,277,146,146,241,239,180,174,167,169,172,170,268,278,147,145
"1329","Ind1329",13180,4,83,138,134,126,126,274,274,140,140,241,247,180,178,169,169,170,170,268,268,147,147
"1842","Ind1842",18433,1,15,140,138,130,128,277,274,170,146,249,241,170,184,187,169,170,170,268,276,149,147
"1419","Ind1419",14203,3,63,142,140,126,124,274,274,140,152,241,251,174,180,167,171,176,168,294,280,145,145
"1356","Ind1356",13570,2,42,134,132,130,122,274,274,146,164,243,241,168,170,169,169,168,172,268,280,145,147
"19","Ind19",188,2,50,134,132,126,126,274,274,149,146,239,241,172,182,169,171,174,170,276,276,147,145
"713","Ind713",6988,4,82,140,140,128,128,277,274,146,146,247,241,180,168,175,177,176,170,280,280,147,147
"1303","Ind1303",12926,1,12,132,136,116,128,274,277,146,149,241,241,190,178,163,177,168,170,278,280,145,147
"181","Ind181",1936,3,71,132,134,126,130,274,274,140,140,241,267,174,174,175,167,176,172,280,280,147,147
"1438","Ind1438",14410,2,38,134,130,122,126,274,277,146,122,249,255,182,180,169,167,176,0,276,282,145,145
"862","Ind862",8243,3,57,134,136,126,124,274,274,143,146,251,269,186,172,167,171,172,168,280,268,145,147
"847","Ind847",8034,6,146,132,142,126,124,274,277,140,167,249,243,172,176,171,169,170,174,272,276,147,145
"861","Ind861",8239,6,130,136,140,132,128,274,277,134,134,241,241,180,178,179,187,168,186,278,276,149,149
"570","Ind570",5730,2,27,128,144,128,126,274,274,146,137,255,247,182,172,163,173,170,174,284,280,147,147
"1286","Ind1286",12689,6,139,144,132,124,124,274,274,119,146,253,241,184,172,169,173,168,168,276,280,147,145
"675","Ind675",6655,3,60,140,128,128,128,274,274,140,143,243,255,176,178,193,169,170,172,270,276,147,147
"464","Ind464",4655,1,23,144,140,126,130,274,274,140,152,245,249,174,180,169,169,170,214,278,270,145,147
"477","Ind477",4833,6,148,128,132,128,130,274,274,140,143,243,231,186,178,167,173,182,170,270,268,145,147
"1389","Ind1389",13968,4,95,134,134,130,124,274,277,143,146,247,247,174,174,167,169,168,170,280,270,147,145
"1717","Ind1717",17412,4,76,134,144,124,130,274,274,146,140,273,239,184,176,171,169,172,174,276,284,147,147
"1675","Ind1675",16849,2,27,142,140,122,126,274,274,170,155,253,241,178,178,173,167,172,172,280,268,147,147
"452","Ind452",4586,2,49,134,136,126,122,274,274,134,146,241,243,188,182,167,169,170,170,276,284,147,145
"483","Ind483",4877,2,42,134,142,124,124,277,277,113,146,241,259,180,186,169,177,178,178,270,270,145,147
"320","Ind320",3274,3,56,132,132,124,0,274,274,119,137,243,241,188,168,167,167,172,170,298,284,147,147
"323","Ind323",3293,6,147,134,144,120,124,277,274,146,146,235,241,172,184,169,173,176,174,268,280,145,147
"659","Ind659",6534,5,116,132,132,122,132,277,274,140,134,241,241,176,174,169,169,172,170,276,280,145,147
"1610","Ind1610",16146,5,119,132,132,126,130,274,274,146,143,243,259,176,180,171,169,178,176,282,278,147,147
"1035","Ind1035",10065,2,37,132,140,124,124,277,274,146,140,241,235,182,182,171,167,170,174,276,278,147,147
"1936","Ind1936",19348,5,124,138,138,124,124,274,274,152,146,241,257,174,168,167,167,176,168,280,284,145,147
"302","Ind302",3082,1,17,136,134,124,124,274,274,146,146,241,253,170,176,171,171,168,174,282,278,147,147
"1911","Ind1911",19204,4,97,132,132,126,130,277,274,143,146,251,261,174,172,187,173,168,172,270,280,145,145
"617","Ind617",6157,2,31,136,132,126,126,274,274,146,146,251,235,180,174,187,177,168,170,276,288,147,147
"255","Ind255",2601,6,133,132,160,124,128,274,277,146,149,251,255,186,0,167,167,168,178,278,284,145,147
"567","Ind567",5712,1,4,134,142,132,124,274,274,146,140,243,259,186,170,167,177,168,172,276,280,145,147
"712","Ind712",6979,4,77,132,132,130,128,274,274,146,152,241,243,182,184,169,167,0,0,276,276,147,147
"799","Ind799",7652,1,6,152,140,128,124,274,274,146,146,249,243,166,174,173,167,168,172,270,268,149,147
"1811","Ind1811",18249,6,129,138,144,130,130,274,274,134,122,247,241,180,178,177,177,170,170,280,276,147,147
"725","Ind725",7076,1,23,140,134,124,124,274,274,149,152,241,255,172,180,169,169,178,172,276,278,145,147
"50","Ind50",464,3,70,142,138,126,124,277,274,146,140,257,241,180,180,167,167,186,176,282,280,147,0
"1725","Ind1725",17487,3,62,134,144,130,132,274,274,113,146,235,251,166,180,163,171,168,170,278,276,147,147
"1243","Ind1243",12331,4,98,134,134,122,124,274,274,143,140,243,235,172,178,185,187,172,172,268,270,147,149
"1415","Ind1415",14172,5,107,138,134,128,126,274,274,149,143,251,245,176,184,171,169,166,168,280,268,147,147
"1553","Ind1553",15698,3,75,132,144,124,122,274,277,140,146,243,269,176,176,169,171,178,194,296,276,147,149
"767","Ind767",7335,6,144,134,134,130,128,274,274,146,140,241,241,168,180,177,167,172,170,278,270,147,147
"1508","Ind1508",15134,4,76,138,134,132,124,277,274,143,152,243,249,154,178,187,169,168,168,276,276,145,147
"744","Ind744",7196,2,48,150,144,126,126,274,274,146,140,255,241,172,172,185,169,174,174,270,276,147,147
"868","Ind868",8342,2,48,142,134,122,122,274,274,146,140,249,247,186,182,169,179,170,172,280,268,147,145
"743","Ind743",7187,6,150,132,146,122,132,274,274,119,146,241,247,178,192,171,173,170,172,278,276,145,147
"249","Ind249",2534,5,107,134,134,130,128,274,277,140,146,239,255,168,172,169,179,168,174,278,268,147,147
"763","Ind763",7294,6,147,138,138,130,126,274,277,146,155,243,273,178,172,171,169,170,170,280,280,147,147
"601","Ind601",6069,4,81,138,136,126,124,274,274,140,149,237,243,176,168,165,171,176,196,268,276,147,147
"387","Ind387",3916,1,13,132,132,126,130,274,274,146,146,269,273,172,168,169,167,172,172,278,280,147,147
"1072","Ind1072",10397,5,106,134,134,126,122,277,274,146,143,251,235,172,176,167,177,178,168,270,270,147,147
"328","Ind328",3411,3,56,144,142,124,128,274,274,146,140,257,241,172,180,169,169,170,170,278,270,147,147
"1738","Ind1738",17733,6,145,134,150,126,130,274,277,146,146,247,243,170,178,173,173,188,176,268,280,147,145
"759","Ind759",7281,2,38,128,134,128,126,274,274,134,134,241,235,184,182,185,167,180,170,278,268,147,147
"1806","Ind1806",18222,6,133,132,134,124,124,274,274,140,140,239,241,178,176,171,169,178,168,286,268,145,147
"1674","Ind1674",16848,4,91,140,134,128,124,274,277,146,140,241,249,178,178,167,167,170,172,268,276,145,147
"278","Ind278",2802,5,108,132,142,122,130,277,277,155,146,243,241,178,174,169,179,172,172,298,276,147,145
"757","Ind757",7274,6,133,142,144,130,124,274,274,146,143,241,263,180,188,185,167,170,170,268,280,145,145
"185","Ind185",1993,3,75,128,134,126,132,274,274,155,146,231,235,172,172,167,175,174,170,302,280,147,149
"1205","Ind1205",11852,5,122,134,134,130,130,274,277,146,152,243,247,182,174,171,167,176,176,276,282,147,147
"651","Ind651",6511,1,8,142,142,128,124,274,277,146,146,273,231,176,172,173,175,170,170,268,276,149,147
"722","Ind722",7020,5,108,132,146,126,124,274,274,149,155,235,251,178,176,167,171,170,168,276,270,147,145
"1671","Ind1671",16828,6,143,134,132,126,126,274,274,146,134,243,243,178,172,173,169,170,170,280,276,147,145
"171","Ind171",1819,3,56,138,134,124,126,274,277,143,140,243,243,172,174,177,169,170,172,280,280,149,145
"1167","Ind1167",11542,5,112,134,136,124,124,274,274,140,140,235,235,176,174,167,167,170,170,276,280,147,147
"1387","Ind1387",13952,1,22,132,134,122,132,274,274,134,143,243,241,174,168,171,173,168,170,268,268,145,145
"1310","Ind1310",12975,3,59,142,138,130,130,274,274,143,143,235,241,182,180,169,169,172,174,280,298,147,147
"1312","Ind1312",12988,3,58,140,134,126,130,274,274,146,143,243,243,176,172,181,169,168,170,268,276,145,147
