"","individual","truecolony","landscape_id","trap_id","BT10_1","BT10_2","BTMS0057_1","BTMS0057_2","BTMS0086_1","BTMS0086_2","BTMS0066_1","BTMS0066_2","BTMS0062_1","BTMS0062_2","BTMS0136_1","BTMS0136_2","BTMS0126_1","BTMS0126_2","BL13_1","BL13_2","BTMS0083_1","BTMS0083_2","B126_1","B126_2"
"937","Ind937",9015,1,18,134,134,132,130,277,277,146,146,259,249,172,172,187,167,172,168,280,276,145,147
"177","Ind177",1905,6,150,128,144,122,124,274,277,143,140,251,247,176,172,171,169,168,178,276,270,147,147
"1723","Ind1723",17476,5,104,134,142,126,128,274,274,158,146,241,241,186,180,177,169,170,168,268,276,145,147
"986","Ind986",9571,4,99,132,132,124,130,274,274,140,137,241,251,182,182,177,169,170,170,270,276,147,147
"1060","Ind1060",10296,1,8,142,134,130,130,274,274,146,146,239,243,180,186,167,171,170,174,276,278,147,147
"1104","Ind1104",10732,3,70,144,138,128,130,277,277,146,146,243,235,176,172,167,169,168,172,268,276,147,145
"791","Ind791",7604,1,9,138,140,126,126,274,274,146,143,241,241,174,182,173,169,168,172,268,270,145,147
"193","Ind193",2082,1,13,138,134,122,126,274,274,146,146,241,243,176,176,187,167,170,170,280,280,145,145
"907","Ind907",8723,2,38,132,134,122,126,274,274,146,149,243,259,180,176,167,169,172,168,276,278,145,145
"1698","Ind1698",17162,3,53,132,144,126,128,274,274,140,119,255,241,180,168,169,169,170,172,276,280,145,145
"1241","Ind1241",12271,2,46,132,138,126,128,274,274,155,137,259,241,178,176,169,169,172,170,270,268,145,145
"29","Ind29",269,4,82,136,136,126,130,274,274,146,143,253,247,174,178,171,167,176,168,276,280,147,145
"873","Ind873",8375,1,3,132,134,126,128,274,274,146,149,243,241,178,178,173,167,170,168,274,280,145,147
"645","Ind645",6489,1,21,138,134,126,128,274,274,167,140,247,243,172,168,175,167,168,176,282,280,147,145
"619","Ind619",6157,2,42,136,132,126,126,277,274,140,146,251,235,184,174,187,177,168,170,276,288,147,147
"1613","Ind1613",16172,2,43,138,142,130,130,277,274,146,143,243,251,172,178,167,169,170,176,276,284,147,147
"674","Ind674",6641,4,91,132,138,122,126,277,274,119,140,243,241,190,168,169,171,172,172,276,274,147,147
"915","Ind915",8825,6,145,132,172,124,124,274,277,146,140,243,241,184,176,171,169,172,170,268,280,147,147
"7","Ind7",58,6,130,132,136,126,128,277,277,149,182,251,263,176,180,167,171,170,192,284,270,145,145
"165","Ind165",1746,1,13,136,134,122,128,274,274,146,146,241,241,172,168,167,167,170,172,276,280,147,145
"134","Ind134",1464,1,6,136,132,132,122,274,277,140,146,241,241,172,176,173,167,202,174,278,274,147,145
"242","Ind242",2489,4,96,140,134,130,130,274,274,146,137,269,251,176,178,173,167,186,168,276,280,147,145
"1575","Ind1575",15942,4,86,144,134,132,124,274,277,134,149,259,235,174,180,167,171,170,170,288,274,145,147
"621","Ind621",6189,4,90,134,132,126,124,274,274,140,140,243,251,178,186,171,169,176,170,280,268,145,149
"864","Ind864",8249,1,1,136,132,126,128,274,277,146,146,247,269,172,180,171,167,168,176,280,268,145,147
"596","Ind596",5990,4,85,142,132,124,126,277,277,140,158,241,261,180,180,187,191,168,182,280,280,147,147
"1488","Ind1488",14949,4,84,138,138,126,126,274,274,146,146,255,243,176,188,169,167,176,188,298,294,145,147
"764","Ind764",7301,1,24,146,134,122,126,274,277,140,146,243,235,190,178,169,167,170,168,280,276,145,147
"761","Ind761",7292,1,21,140,144,122,130,274,274,140,140,243,269,174,174,169,167,176,182,268,270,145,147
"867","Ind867",8337,2,44,134,132,126,124,274,277,146,146,243,245,174,190,171,179,168,168,274,280,145,147
"1489","Ind1489",14970,1,4,136,136,126,128,274,274,140,146,239,241,170,168,167,169,170,182,266,276,145,147
