"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"366","208",1,"ED9_13_06","*208","#208"
"367","208",1,"SD10_01_02","*208","#208"
"368","209",1,"ED9_13_08","*209","#209"
"369","210",1,"ED9_13_09","*210","#210"
"370","211",1,"ED9_15_01","*211","#211"
"371","211",1,"ED10_32_02","*211","#211"
"372","212",1,"ED9_16_01","*212","#212"
"373","869",0.7356,"ED9_17_02","*213","#213"
"374","214",1,"ED9_17_03","*214","#214"
"375","215",1,"ED9_17_04","*215","#215"
"376","216",1,"ED9_17_05","*216","#216"
"377","216",1,"W10_08_02","*216","#216"
"378","217",1,"ED9_19A_02","*217","#217"
"379","217",1,"SD9_06_05","*217","#217"
"380","217",1,"SD9_25_03","*217","#217"
"381","218",1,"ED9_19A_03","*218","#218"
"382","219",1,"ED9_19A_04","*219","#219"
"383","219",1,"ED10_17_02","*219","#219"
"384","220",1,"ED9_19A_06","*220","#220"
"385","220",1,"W5_36_02","*220","#220"
"386","221",1,"ED9_19A_09","*221","#221"
"387","221",1,"W6_21_01","*221","#221"
"388","222",1,"ED9_19A_11","*222","#222"
"389","222",1,"NR8_29_01","*222","#222"
"390","223",1,"ED9_19A_12","*223","#223"
"391","870",0.6837,"ED9_19A_14","*224","#224"
"392","871",0.6837,"ED9_25A_05","*224","#224"
"393","225",1,"ED9_19A_16","*225","#225"
"394","226",0.9942,"ED9_19A_19","*226","#226"
"395","872",0.6292,"ED9_19A_20","*227","#227"
"396","873",0.6292,"SD10_30_04","*227","#227"
"397","228",1,"ED9_19A_21","*228","#228"
"398","228",1,"SD10_26_01","*228","#228"
"399","229",1,"ED9_19A_22","*229","#229"
"400","229",1,"HR6_27_01","*229","#229"
"401","229",1,"HR8_24_01","*229","#229"
"402","229",1,"HR9_23_04","*229","#229"
"403","230",1,"ED9_19A_23","*230","#230"
"404","231",1,"ED9_20A_03","*231","#231"
"405","231",1,"NR9_05A_04","*231","#231"
"406","232",1,"ED9_20A_04","*232","#232"
"407","233",1,"ED9_20A_05","*233","#233"
"408","234",1,"ED9_21A_03","*234","#234"
"409","235",1,"ED9_21A_04","*235","#235"
"410","236",1,"ED9_21A_05","*236","#236"
"411","236",1,"HR7_25_01","*236","#236"
"412","236",1,"NR8_04A_01","*236","#236"
"413","236",1,"NR10_27_02","*236","#236"
"414","874",0.9403,"ED9_21A_06","*237","#237"
"415","875",0.9403,"NR3_01_02","*237","#237"
"416","238",1,"ED9_22B_03","*238","#238"
"417","238",1,"PM7_46_02","*238","#238"
"418","239",1,"ED9_22B_06","*239","#239"
"419","239",1,"ED10_19A_12","*239","#239"
"420","240",1,"ED9_24A_01","*240","#240"
"421","240",1,"NR8_19_01","*240","#240"
"422","241",1,"ED9_24A_02","*241","#241"
"423","241",1,"PM8_52A_02","*241","#241"
"424","242",1,"ED9_24A_03","*242","#242"
"425","242",1,"W15_17_02","*242","#242"
"426","243",1,"ED9_24A_04","*243","#243"
"427","244",1,"ED9_24A_05","*244","#244"
"428","244",1,"NR7_08A_02","*244","#244"
"429","245",1,"ED9_25A_02","*245","#245"
"430","246",1,"ED9_26A_01","*246","#246"
"431","246",1,"NR8_05A_06","*246","#246"
"432","247",1,"ED9_28A_01","*247","#247"
"433","248",1,"ED9_29_02","*248","#248"
"434","248",1,"NR3_32_01","*248","#248"
"435","249",1,"ED9_31_01","*249","#249"
"436","249",1,"ED10_32_04","*249","#249"
"437","250",1,"ED9_31_03","*250","#250"
"438","250",1,"ED10_25A_01","*250","#250"
"439","251",1,"ED9_31_04","*251","#251"
"440","251",1,"NR2_18_01","*251","#251"
"441","252",1,"ED9_32_02","*252","#252"
"442","253",1,"ED9_32_04","*253","#253"
"443","254",1,"ED10_01_03","*254","#254"
"444","255",1,"ED10_01_04","*255","#255"
"445","255",1,"ED10_06_01","*255","#255"
"446","256",1,"ED10_01_05","*256","#256"
"447","876",0.9411,"ED10_03A_01","*257","#257"
"448","258",1,"ED10_08_01","*258","#258"
"449","258",1,"NR5_07A_11","*258","#258"
"450","877",0.5012,"ED10_09_03","*259","#259"
"451","260",1,"ED10_09_04","*260","#260"
"452","261",1,"ED10_09_05","*261","#261"
"453","262",1,"ED10_09_06","*262","#262"
"454","263",1,"ED10_10_01","*263","#263"
"455","264",1,"ED10_10_02","*264","#264"
"456","264",1,"NR3_29_11","*264","#264"
"457","878",0.7356,"ED10_11_03","*265","#265"
"458","879",0.7356,"NR7_03_02","*265","#265"
"459","880",0.4895,"ED10_12_01","*266","#266"
"460","881",0.4895,"HR6_10_04","*266","#266"
"461","267",1,"ED10_12_02","*267","#267"
"462","268",1,"ED10_12_03","*268","#268"
"463","269",1,"ED10_12_04","*269","#269"
"464","269",1,"ED14_06_01","*269","#269"
"465","270",1,"ED10_12_05","*270","#270"
"466","270",1,"NR6_01_03","*270","#270"
"467","271",1,"ED10_12_06","*271","#271"
"468","271",1,"SD6_37_13","*271","#271"
"469","272",1,"ED10_17_01","*272","#272"
"470","273",1,"ED10_19A_02","*273","#273"
"471","274",1,"ED10_19A_04","*274","#274"
"472","275",1,"ED10_19A_05","*275","#275"
"473","882",0.496,"ED10_19A_06","*276","#276"
"474","277",0.9928,"ED10_19A_07","*277","#277"
"475","278",1,"ED10_19A_09","*278","#278"
"476","278",1,"PM1_16_06","*278","#278"
"477","279",1,"ED10_19A_11","*279","#279"
"478","279",1,"SD9_06_03","*279","#279"
"479","280",1,"ED10_19A_13","*280","#280"
"480","281",1,"ED10_19A_14","*281","#281"
"481","282",1,"ED10_19A_15","*282","#282"
"482","283",1,"ED10_19A_16","*283","#283"
"483","284",1,"ED10_19A_17","*284","#284"
"484","285",1,"ED10_21A_01","*285","#285"
"485","286",1,"ED10_21A_02","*286","#286"
"486","286",1,"HR9_22_05","*286","#286"
"487","287",1,"ED10_21A_03","*287","#287"
"488","288",1,"ED10_21A_04","*288","#288"
"489","289",1,"ED10_21A_05","*289","#289"
"490","883",0.8686,"ED10_21A_06","*290","#290"
"491","884",0.8686,"SD10_28_02","*290","#290"
"492","291",1,"ED10_21A_07","*291","#291"
"493","291",1,"PM14_43_01","*291","#291"
"494","292",1,"ED10_22B_03","*292","#292"
"495","293",1,"ED10_22B_04","*293","#293"
"496","294",1,"ED10_22B_05","*294","#294"
"497","295",1,"ED10_22B_06","*295","#295"
"498","295",1,"NR9_05A_02","*295","#295"
"499","296",1,"ED10_23A_01","*296","#296"
"500","297",1,"ED10_24A_01","*297","#297"
"501","298",1,"ED10_24A_02","*298","#298"
