"","ClusterIndex","Probability","OffspringID","FatherID","MotherID"
"550","327",1,"NR20_15A_02","*327","#327"
"551","328",1,"HR25_27_02","*328","#328"
"552","329",1,"SD20_27_01","*329","#329"
"553","330",1,"SD21_39_04","*330","#330"
"554","330",1,"HR18_24_03","*330","#330"
"555","331",1,"SD21_31A_01","*331","#331"
"556","332",1,"SD21_33A_01","*332","#332"
"557","333",1,"SD21_19_01","*333","#333"
"558","334",1,"SD21_39_02","*334","#334"
"559","335",1,"SD20_40_01","*335","#335"
"560","336",1,"SD24_50_01","*336","#336"
"561","337",1,"SD22_35_01","*337","#337"
"562","337",1,"PM20_65_03","*337","#337"
"563","338",1,"SD20_09_01","*338","#338"
"564","338",1,"HR20_26_01","*338","#338"
"565","339",1,"SD21_36_01","*339","#339"
"566","339",1,"HR19_24_08","*339","#339"
"567","340",1,"SD20_24_05","*340","#340"
"568","340",1,"HR19_32_22","*340","#340"
"569","341",1,"SD21_18A_01","*341","#341"
"570","341",1,"HR19_27_03","*341","#341"
"571","342",1,"SD20_24_03","*342","#342"
"572","342",1,"HR20_04_03","*342","#342"
"573","343",0.9775,"SD19_24_01","*343","#343"
"574","344",1,"SD21_08_01","*344","#344"
"575","344",1,"W20_18_07","*344","#344"
"576","345",1,"SD21_39_07","*345","#345"
"577","345",1,"ED19_10_10","*345","#345"
"578","346",1,"SD21_27_01","*346","#346"
"579","346",1,"ED20_10_05","*346","#346"
"580","347",1,"SD20_03_01","*347","#347"
"581","348",1,"SD20_24_04","*348","#348"
"582","349",1,"SD20_27_02","*349","#349"
"583","350",1,"SD18_40_02","*350","#350"
"584","351",1,"SD18_39_14","*351","#351"
"585","352",1,"SD19_39_05","*352","#352"
"586","352",1,"HR22_10_02","*352","#352"
"587","353",1,"SD18_35_02","*353","#353"
"588","354",1,"SD20_28_01","*354","#354"
"589","355",1,"SD18_40_01","*355","#355"
"590","356",1,"SD20_39_03","*356","#356"
"591","357",1,"SD18_27_02","*357","#357"
"592","358",0.9746,"SD20_39_05","*358","#358"
"593","358",0.9746,"NR20_44_13","*358","#358"
"594","359",1,"SD19_39_04","*359","#359"
"595","360",1,"SD19_03_02","*360","#360"
"596","361",1,"PM20_40_02","*361","#361"
"597","362",1,"PM20_70_04","*362","#362"
"598","363",1,"PM20_55_01","*363","#363"
"599","363",1,"ED19_27B_02","*363","#363"
"600","364",1,"PM20_67_03","*364","#364"
"601","364",1,"PM19_67_01","*364","#364"
"602","365",1,"SD17_40_01","*365","#365"
"603","365",1,"W18_14_01","*365","#365"
"604","807",0.8127,"SD17_40_02","*366","#366"
"605","808",0.8127,"HR22_24_01","*366","#366"
"606","367",1,"SD18_27_01","*367","#367"
"607","367",1,"PM19_52_01","*367","#367"
"608","368",1,"SD17_40_03","*368","#368"
"609","368",1,"NR21_07A_01","*368","#368"
"610","369",1,"PM21_69_01","*369","#369"
"611","369",1,"NR21_02_01","*369","#369"
"612","370",1,"PM20_53A_02","*370","#370"
"613","371",1,"PM20_65_10","*371","#371"
"614","372",1,"PM20_65_06","*372","#372"
"615","372",1,"W19_17_05","*372","#372"
"616","373",1,"PM21_70_02","*373","#373"
"617","373",1,"W19_29_03","*373","#373"
"618","374",1,"PM19_71_02","*374","#374"
"619","374",1,"HR18_32_09","*374","#374"
"620","375",1,"PM19_49_01","*375","#375"
"621","376",1,"PM19_70_02","*376","#376"
"622","377",1,"PM20_65_12","*377","#377"
"623","378",1,"PM19_43_02","*378","#378"
"624","379",1,"PM19_70_01","*379","#379"
"625","380",1,"PM19_41_01","*380","#380"
"626","380",1,"W19_08_04","*380","#380"
"627","381",1,"ED20_29_01","*381","#381"
"628","381",1,"HR17_32_08","*381","#381"
"629","382",1,"PM19_71_04","*382","#382"
"630","383",0.9982,"ED20_11_05","*383","#383"
"631","383",0.9982,"W18_29_03","*383","#383"
"632","384",1,"ED20_13_02","*384","#384"
"633","385",1,"ED20_10_17","*385","#385"
"634","385",1,"NR18_14B_01","*385","#385"
"635","386",1,"PM18_70_02","*386","#386"
"636","809",0.5927,"PM21_65_02","*387","#387"
"637","388",1,"ED20_10_19","*388","#388"
"638","389",1,"ED19_10_14","*389","#389"
"639","389",1,"NR20_27_07","*389","#389"
"640","810",0.8073,"ED19_10_05","*390","#390"
"641","811",0.8073,"HR18_09_02","*390","#390"
"642","391",1,"ED19_10_06","*391","#391"
"643","392",1,"ED19_27B_03","*392","#392"
"644","393",1,"ED18_13_04","*393","#393"
"645","393",1,"HR20_07_07","*393","#393"
"646","394",1,"ED20_10_09","*394","#394"
"647","395",1,"ED20_10_14","*395","#395"
"648","395",1,"HR20_04_04","*395","#395"
"649","396",1,"ED20_33_08","*396","#396"
"650","397",1,"ED18_13_02","*397","#397"
"651","398",1,"ED19_11_01","*398","#398"
"652","399",1,"ED18_09_01","*399","#399"
"653","400",1,"ED19_10_09","*400","#400"
"654","401",1,"ED19_10_07","*401","#401"
"655","401",1,"NR20_28_01","*401","#401"
"656","402",1,"ED18_01_02","*402","#402"
"657","403",1,"ED19_10_11","*403","#403"
"658","403",1,"W19_23A_01","*403","#403"
"659","404",1,"ED18_13_03","*404","#404"
"660","404",1,"NR20_01_13","*404","#404"
"661","405",1,"ED19_10_13","*405","#405"
"662","406",1,"ED18_01_04","*406","#406"
"663","812",0.2828,"ED19_11_02","*407","#407"
"664","813",0.2828,"NR21_02_02","*407","#407"
"665","408",1,"ED18_10_01","*408","#408"
"666","409",1,"ED18_28_01","*409","#409"
"667","409",1,"W24_05_01","*409","#409"
"668","410",1,"ED17_01_01","*410","#410"
"669","411",1,"ED18_13_01","*411","#411"
"670","411",1,"NR21_27_03","*411","#411"
"671","412",1,"ED17_28_02","*412","#412"
"672","413",0.9901,"ED18_17_01","*413","#413"
"673","413",0.9901,"NR20_25_01","*413","#413"
