"sample_pt","site_id","site_name","type","site_type","transect","latitude","longitude","project_co","subsite","geometry","idwSN_mix","idwSN_imp","landscape_iji_mix_mean","landscape_iji_imp_mean","landscape_iji_1000","landscape_iji_250","prop_seminat_250","prop_seminat_1000"
"ED21A","east_delta","point","bumble point","Point",49.1046683,-122.9321746,"FVBomb","eastdelta1","c(-13684747.0785818"," 6292640.11202458)",101214.411930397,147500.101387992,62.9167714900817,61.0614426906137,61.0869041955987,61.4422211216904,0.0515601941304447,0.0848758411871706
"ED22","east_delta","point","bumble point","Point",49.1038126,-122.9448933,"FVBomb","eastdelta2","c(-13686162.9177894"," 6292494.61288073)",65826.1420502456,133493.072805249,43.0827366934893,47.8445000598269,47.3547091549137,84.2615707536218,0.0261785946121389,0.0541358468693364
"ED22A","east_delta","point","bumble point","Point",49.1028989,-122.9460592,"FVBomb","eastdelta2","c(-13686292.7051837"," 6292339.25446344)",55791.7629174133,112258.556260193,53.5419696364207,42.4973329079926,42.0608812307933,56.7517975536262,0.0357213491351113,0.0380350170415251
"ED22B","east_delta","point","bumble point","Point",49.1046204,-122.9460145,"FVBomb","eastdelta2","c(-13686287.7292024"," 6292631.96727091)",96746.72225946,191142.530473846,45.1064273160596,48.6445185358767,48.368815430759,78.5220011892261,0.0346065683510153,0.0904750028312607
"ED23","east_delta","point","bumble point","Point",49.102078,-122.944947,"FVBomb","eastdelta2","c(-13686168.895646"," 6292199.67747329)",49967.4428330221,93568.1786422876,47.5014839875105,45.2047710343913,44.7495099912257,68.3417925859964,0.0428751832110236,0.0417429639969918
"ED23A","east_delta","point","bumble point","Point",49.1010173,-122.9460843,"FVBomb",NA,"c(-13686295.4993029"," 6292019.33089406)",48658.6847302506,85185.4898238016,48.3581342522318,42.7957803834584,44.6945361238241,56.4048497963057,0.042233378974593,0.0385857920681049
"ED24","east_delta","point","bumble point","Point",49.103752,-122.9407291,"FVBomb",NA,"c(-13685699.3611658"," 6292484.3088411)",64759.3819134852,119024.310399825,62.1199504803139,58.1619358573954,57.8339714294554,74.683218841375,0.0094185551114808,0.0598408549157113
"ED24A","east_delta","point","bumble point","Point",49.1046616,-122.940654,"FVBomb",NA,"c(-13685691.001072"," 6292638.97277882)",70794.4193365951,133996.092456496,62.7320154280715,58.6434542898807,58.1494435576538,82.2606801580425,0.00520323554022872,0.0700604684780064
"ED25","east_delta","point","bumble point","Point",49.102064,-122.9407306,"FVBomb",NA,"c(-13685699.528145"," 6292197.29708417)",69086.697996102,112867.728659182,62.9243329058823,62.5222283715432,62.3355007391206,67.5779737535515,0.0217659200056798,0.0609447327492444
"ED25A","east_delta","point","bumble point","Point",49.1009682,-122.9383971,"FVBomb",NA,"c(-13685439.7641133"," 6292010.98271075)",98713.6412079875,137134.891922207,68.8933533117244,64.7980156839416,64.8304228367552,54.3484340362155,0.143703282994757,0.0661216205683855
"ED25B","east_delta","point","bumble point","Point",49.10081,-122.9371909,"FVBomb","eastdelta1","c(-13685305.4905435"," 6291984.08495432)",108480.246010614,146489.151211877,69.534918061708,66.2602021450895,66.4893476192702,55.6924111979221,0.219912467099091,0.0692052387076989
"ED26","east_delta","point","bumble point","Point",49.1037681,-122.9362985,"FVBomb","eastdelta1","c(-13685206.1490299"," 6292487.04638175)",94342.726419704,140186.671811926,62.0501709955819,64.3566369409769,64.211707734481,81.7670086365835,0.0485908599887411,0.0728167802091005
"ED26A","east_delta","point","bumble point","Point",49.1046742,-122.9356172,"FVBomb","eastdelta1","c(-13685130.3070608"," 6292641.11524113)",100501.9825973,146100.742365084,63.5450306076568,63.4025495144475,63.2481254792553,78.2032034865021,0.0851327155327642,0.075929534338092
"ED27","east_delta","point","bumble point","Point",49.1002059,-122.9312067,"FVBomb","eastdelta1","c(-13684639.3324467"," 6291881.37439888)",99158.1882193015,145967.465731838,66.0668939102484,62.0426586656551,62.0308002849508,76.8409856759111,0.0856113830623684,0.082319896594299
"ED27A","east_delta","point","bumble point","Point",49.1002656,-122.9297475,"FVBomb","eastdelta1","c(-13684476.8950457"," 6291891.52468282)",91464.4214114166,139144.8217162,59.4301247966347,61.2599769102292,61.2510485088039,59.9621906678171,0.0745353584015822,0.0824578515320295
"ED28","east_delta","point","bumble point","Point",49.1002867,-122.9346774,"FVBomb","eastdelta1","c(-13685025.6890034"," 6291895.11213953)",116159.546798525,156014.550410929,67.0801848238075,68.7191914712635,68.6833465529287,71.2038008690814,0.206766097500368,0.0712377679082976
"ED28A","east_delta","point","bumble point","Point",49.1007889,-122.9346452,"FVBomb","eastdelta1","c(-13685022.1045158"," 6291980.49745979)",113099.358622426,153807.19433553,66.3599043684321,68.5008002024871,68.4575079452042,71.789626781922,0.185203967787086,0.0700279283311749
"ED29","east_delta","point","bumble point","Point",49.0946604,-122.9406617,"FVBomb",NA,"c(-13685691.8582321"," 6290938.57337071)",117945.147109227,178759.130005295,57.7111070904648,57.5302872219057,59.6970042428502,66.916617880494,0.0938858096218502,0.0994893146738444
"ED31","east_delta","point","bumble point","Point",49.091685,-122.9349074,"FVBomb","eastdelta4","c(-13685051.2924862"," 6290432.7633588)",166901.841528838,235593.659994719,63.889724221416,60.0294544982641,59.8156966162153,59.5723469106741,0.138470043465251,0.118253021438774
"ED32","east_delta","point","bumble point","Point",49.0910852,-122.9303897,"FVBomb","eastdelta4","c(-13684548.3844227"," 6290330.80264058)",203959.818181911,276390.261206512,63.3798647128926,62.0576730922097,61.9724657397855,63.4712352733602,0.319027863714283,0.137828201962412
"HR01","harvey_road","point","bumble point","Point",49.1512987,-122.715387,"FVBomb",NA,"c(-13660614.3933395"," 6300572.71961112)",141529.504167643,220910.313570844,62.0567388521181,64.040793950435,63.9485090699791,69.5911089409983,0.0796506408468206,0.108312726409725
"HR03","harvey_road","point","bumble point","Point",49.1515935,-122.7194854,"FVBomb","hr3","c(-13661070.6251406"," 6300622.89374232)",158932.469439046,240814.341622711,64.1168060838846,62.8459385782505,62.8026540289566,71.2931046117053,0.0425898784377964,0.142310610458874
"HR04","harvey_road","point","bumble point","Point",49.1534069,-122.719946,"FVBomb","hr3","c(-13661121.898898"," 6300931.5358913)",200465.895208288,278343.202249444,68.4572911938322,64.2567951428299,64.2431521677173,57.615489828414,0.123199724126739,0.153187536485001
"HR05","harvey_road","point","bumble point","Point",49.1553639,-122.7201662,"FVBomb",NA,"c(-13661146.4114499"," 6301264.63155261)",207213.048715568,285084.473451029,70.2736272778546,69.8489651910639,69.8760395054604,69.9716685398052,0.287941413639384,0.147462212505822
"HR05A","harvey_road","point","bumble point","Point",49.1556885,-122.7208475,"FVBomb",NA,"c(-13661222.253419"," 6301319.88211049)",207655.571775553,287322.281779005,69.6983418282279,69.3327984932969,69.3459533695293,66.3710800441701,0.253712193439763,0.142732528176461
"HR06","harvey_road","point","bumble point","Point",49.1553991,-122.7262363,"FVBomb",NA,"c(-13661822.131891"," 6301270.62296961)",231933.804785828,314347.354779354,59.460799559625,61.1500319530826,60.7637685180877,55.9452914240277,0.345521301898179,0.151254866143476
"HR06A","harvey_road","point","bumble point","Point",49.1557745,-122.7263221,"FVBomb",NA,"c(-13661831.6831033"," 6301334.52033498)",228559.747543214,312818.984067157,59.4367516886653,61.0002117047794,60.9112607076337,56.0323414488218,0.335463258785942,0.151190005436807
"HR07","harvey_road","point","bumble point","Point",49.1534587,-122.7244539,"FVBomb","hr3","c(-13661623.7160306"," 6300940.35245924)",234055.73564696,310920.436026949,59.9837557349738,61.3995399655516,61.0429557434205,66.8552470372903,0.321677789723513,0.14283678273105
"HR07A","harvey_road","point","bumble point","Point",49.1534589,-122.7224307,"FVBomb","hr3","c(-13661398.4944368"," 6300940.38650006)",222090.495794432,299456.061473242,66.0139053621551,63.8285625076234,63.7140151829176,67.9197306903164,0.154591601292109,0.144992512843646
"HR08","harvey_road","point","bumble point","Point",49.1518968,-122.7261292,"FVBomb","hr3","c(-13661810.2095735"," 6300674.51486124)",214482.611580343,300093.656747016,57.9423315668412,58.3886696666337,58.0650539439495,60.8745652633817,0.348018805248023,0.141614975596131
"HR09","harvey_road","point","bumble point","Point",49.1626103,-122.7282396,"FVBomb","hr2","c(-13662045.1382269"," 6302498.13623397)",427816.192429523,614398.617549216,70.6846892361981,71.5599818253682,71.5299761172586,56.7932125573021,0.239711125424107,0.335051500477498
